1000 4000
177 616 54
902 10 852
401 172 513
736 527 775
817 435 553
629 508 549
954 202 584
116 158 637
26 201 484
887 55 677
598 132 590
697 524 269
253 984 908
202 310 11
350 77 607
280 510 925
47 568 796
68 613 432
181 343 553
570 995 401
257 753 148
613 733 717
733 717 458
59 679 971
557 220 233
945 471 338
155 918 802
448 68 708
269 479 425
884 703 943
241 786 327
314 629 51
477 434 156
945 901 670
156 572 313
730 439 76
838 448 155
70 94 982
950 873 124
864 112 805
258 76 349
519 362 517
354 962 171
722 447 24
339 11 322
853 824 534
977 457 582
896 315 57
805 479 21
570 891 930
128 282 386
224 782 301
532 24 935
681 752 749
885 77 79
360 787 707
473 468 87
422 666 199
869 195 95
617 122 793
502 258 357
196 422 18
569 836 425
362 74 314
625 832 198
350 139 599
870 537 48
524 36 97
799 984 131
87 2 318
65 221 823
303 708 323
702 975 155
877 123 916
53 941 710
888 712 407
427 222 784
303 693 618
490 531 392
698 130 663
555 535 515
132 748 815
498 412 356
356 660 585
620 790 551
985 252 121
86 108 391
254 929 151
585 804 77
135 742 4
979 977 269
542 375 819
996 458 803
468 157 61
342 324 252
676 919 759
966 770 830
552 413 514
109 605 651
274 562 93
404 818 489
948 506 949
315 924 7
916 79 671
444 563 876
247 345 946
514 851 548
514 412 680
569 975 722
917 818 858
369 294 589
340 853 31
873 811 831
433 918 464
910 672 242
213 560 214
372 841 330
184 64 12
240 754 806
521 327 908
522 351 38
23 819 847
150 953 995
669 71 959
787 697 751
73 617 181
972 627 373
40 212 420
848 571 432
556 522 636
983 109 70
749 757 244
661 217 975
865 280 677
370 982 950
349 67 336
315 494 636
133 299 761
816 265 976
45 810 867
504 699 172
391 77 260
818 507 181
32 519 436
380 712 734
842 501 162
71 997 612
957 894 905
966 634 26
114 754 7
909 608 938
226 920 83
99 154 840
13 854 537
968 35 542
749 303 862
860 987 779
76 544 94
185 498 88
166 705 526
353 625 519
634 297 270
465 95 434
428 357 283
69 884 882
322 963 672
329 735 389
878 515 521
735 926 852
805 293 29
586 642 358
755 56 790
434 414 379
929 313 459
875 862 467
115 751 875
201 808 697
680 428 395
536 954 707
828 712 775
867 383 512
723 482 584
562 902 701
83 460 682
48 154 243
283 286 682
627 935 76
506 615 807
768 232 982
550 368 940
169 264 537
696 162 449
330 287 338
772 537 60
760 530 539
84 309 751
249 933 887
305 971 458
765 842 941
270 728 547
913 788 994
537 877 741
58 645 819
682 398 607
666 452 610
778 215 32
83 759 991
653 202 491
805 68 561
826 59 977
610 252 488
535 234 217
539 629 830
61 777 961
406 497 153
383 630 530
49 660 124
378 808 123
59 465 298
611 794 261
774 58 809
886 991 44
631 711 169
192 759 86
778 578 854
600 414 334
375 381 999
50 579 180
841 852 206
492 896 652
715 296 418
471 875 127
351 176 810
222 439 797
78 955 466
952 548 962
525 39 357
855 367 926
964 952 753
24 861 408
755 628 388
899 762 677
21 435 971
575 137 172
729 984 716
808 746 503
715 534 339
903 591 292
330 504 10
85 767 556
636 75 147
10 506 53
281 898 653
690 328 494
429 500 223
470 606 673
657 78 460
87 921 327
492 130 18
330 741 823
544 403 984
633 591 758
284 297 737
831 596 909
617 475 273
644 150 109
891 827 56
560 750 725
939 921 434
361 224 328
438 758 147
475 120 869
866 245 615
447 351 96
500 733 1
895 740 266
505 654 536
34 396 250
731 965 786
328 838 913
455 118 912
913 843 457
918 533 279
151 921 460
705 162 865
228 231 580
63 381 102
102 648 567
413 83 478
142 68 95
308 372 228
309 98 186
911 886 377
187 877 778
667 593 641
535 354 301
653 478 688
51 901 394
18 500 55
532 443 591
933 293 255
717 577 208
477 764 473
439 933 118
189 637 395
720 233 218
105 406 189
158 424 979
987 742 91
370 344 181
300 746 235
228 799 885
742 730 200
230 623 371
263 727 237
100 822 491
435 265 599
808 301 699
700 990 763
369 573 906
751 961 295
339 997 615
731 449 918
824 493 176
986 644 591
145 364 763
76 669 904
666 845 589
611 708 528
403 618 827
888 63 453
652 782 335
526 700 796
140 161 408
715 735 998
93 223 12
792 250 385
789 118 207
389 84 578
373 664 728
677 809 351
341 811 864
813 690 854
443 331 452
830 481 244
904 952 291
49 490 832
585 629 91
216 443 317
364 216 24
745 644 757
332 671 999
96 805 907
227 720 775
648 301 119
489 140 644
73 333 184
735 189 136
709 640 946
280 358 780
279 701 853
174 615 509
231 25 64
417 805 485
569 416 813
970 596 635
862 990 844
791 748 321
978 821 291
560 216 522
263 692 718
123 247 108
254 407 813
587 516 7
932 744 10
478 200 59
483 949 433
500 125 754
355 415 142
981 772 746
942 794 423
583 31 721
768 932 292
217 418 758
200 294 896
753 816 141
555 793 57
745 906 654
355 492 555
408 999 624
947 829 102
896 878 582
694 977 218
631 17 5
482 405 850
0 562 123
517 952 823
238 902 122
496 225 522
315 964 601
195 910 824
892 531 378
531 756 944
641 385 111
990 780 867
727 797 714
661 205 963
773 768 723
703 18 631
260 712 590
9 226 846
192 270 148
968 380 262
119 446 553
469 291 550
622 731 134
589 785 583
312 504 539
348 462 898
23 460 729
376 189 710
465 784 721
900 848 417
598 320 594
838 62 724
486 51 814
434 448 409
381 370 958
57 863 409
204 269 851
258 917 123
607 671 26
764 482 785
431 614 675
341 31 741
793 222 521
1 519 407
74 119 73
695 889 145
921 260 585
767 117 537
994 164 382
795 886 751
357 330 70
472 540 399
976 416 27
74 880 739
436 127 269
977 706 52
592 322 624
21 104 585
278 964 213
686 378 125
160 708 170
583 459 319
107 402 803
182 352 920
410 116 599
682 351 988
920 691 160
376 775 17
172 155 339
635 341 265
126 951 337
768 487 464
1 751 3
755 719 4
574 586 215
575 418 8
960 452 771
851 332 834
102 465 633
485 317 202
876 168 816
222 501 85
404 248 875
971 15 315
207 190 41
870 31 70
871 761 383
267 128 633
307 930 635
329 497 677
953 739 451
609 263 634
95 707 317
484 317 287
821 39 765
531 883 377
868 667 722
64 145 203
119 515 214
32 895 872
325 790 228
127 158 507
849 932 777
958 520 132
215 178 674
529 925 79
397 900 146
936 84 401
187 903 669
522 123 240
248 332 632
759 816 339
178 894 187
989 444 255
554 574 69
640 245 183
167 239 627
998 767 469
925 908 2
983 194 164
855 649 918
253 950 973
508 162 670
551 69 429
845 658 74
607 567 714
936 406 198
170 637 930
943 990 469
449 564 113
446 966 965
144 651 638
751 215 450
952 583 762
256 212 880
